ID, File,((<.+=("|'|`))(.*courses\.byui\.edu.*("|'|`)).+>)|(courses\.byui\.edu),((<.+=("|'|`))(.*stream\.byui\.edu.*("|'|`)).+>)|(stream\.byui\.edu),((<.+=("|'|`))(.*brightcove.*("|'|`)).+>)|(brightcove),
105848,L01 Student Set-Up.html,1,0,0,
105848,New Syllabus.html,1,0,0,
105848,Orientation to Online Learning.html,1,0,0,
105848,Syllabus (DEV).html,1,0,0,
105848,Syllabus Development.html,1,0,0,
105848,Syllabus.html,1,0,0,
106282,FAQ - Midterm Project.html,1,0,0,
106282,L05.01 Preparations - Instructions.html,0,1,0,
106282,Midterm Project Instructions.html,1,0,0,
106284,I-Learn Tutorial.html,0,2,0,
106290,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
106293,Watch the Devotional.html,0,0,1,
106295,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
106296,L01.06 Icebreaker - Instructions.html,0,1,0,
106300,W01 Introduction.html,0,1,0,
106952,Employment Packet LinkedIn Page.html,0,1,0,
106952,Orientation to Online Learning.html,3,0,0,
106952,Unit 1 Presentation & Materials.html,0,2,0,
106952,Unit 4 Presentation & Materials.html,0,1,0,
106989,L04 Activity 05 Directions.html,0,1,0,
106989,L08.03 Film Analysis - Instructions.html,0,1,0,
106989,L10.03 View Sense and Sensibility and write a film analysis.html,0,1,0,
106989,L12.02 Activity 02 View Bright Star and write a film analysis.html,0,1,0,
111785,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
111785,Orientation to Online Learning at BYU-Idaho1.html,3,0,0,
111793,Facilitator Presentation Requirements.html,0,0,1,
111796,L11.03 Assignment 03.html,0,1,0,
112145,Orientation to Online Learning.html,3,0,0,
117813,L11 Overview.html,0,0,1,
117831,Groups.html,1,0,0,
117831,L01 Make Contact Discussion Board - Instructions.html,0,1,0,
117831,L06 Group Discussion Board (Part 1).html,0,1,0,
117831,Orientation to Online Learning.html,3,0,0,
117831,Video Sentence Word Order.html,0,1,0,
117831,Video Written Language.html,0,1,0,
117847,Orientation to Online Learning.html,3,0,0,
117924,Orientation to Online Learning.html,3,0,0,
118405,Animations  Homeostasis.html,1,0,0,
118474,Orientation to Online Learning.html,1,0,0,
16150,Orientation to Online Learning.html,1,0,0,
16156,Clusters as Part of an Integrated Degree.html,0,1,0,
16156,Entrepreneurship.html,0,1,0,
16156,L04 Accounting Industry Outlook.html,0,1,0,
16156,L06 Kent Lundin & Drew Eagar – Marketing Outlook.html,0,1,0,
16156,L07 James Taylor - Finance Industry Outlook.html,0,1,0,
16156,L08 Entrepreneurship at BYU-Idaho.html,0,1,0,
16156,L08 Preparation to Start a Business.html,0,1,0,
16156,L09 Bro. Kunzler Whitesides.html,0,1,0,
16156,Lee Barney – CIT Industry Outlook.html,0,1,0,
16156,President Clark Selecting a Cluster.html,0,1,0,
16156,President Clark Selecting a Major and Minor.html,0,1,0,
16156,Selecting a Major and a Minor.html,0,1,0,
16156,The Lord Has a Plan Faculty Interviews.html,0,12,0,
16161,L01 Orientation to Online Learning.html,3,0,0,
16162,12.2 - Working with Lawyers Video.html,0,0,3,
16162,5.2 - HBO Documentary Hot Coffee.html,0,0,1,
16163,Course Improvement Log.html,0,0,1,
16164,L10 Simulated Family Therapy Session - Instructions.html,0,0,1,
16165,L01 Introduction.html,0,1,0,
16165,L02 Preparation Questions.html,0,1,0,
16165,L03 Preparation.html,0,1,0,
16165,L09 Preparation Activites Instructions.html,0,1,0,
16165,L11 Preparation Activities Instructions.html,0,2,0,
16165,L11 Preparation Activities1.html,0,1,0,
16165,L12 Preparation Activities.html,0,2,0,
16165,L13 Preparation Activities.html,0,3,0,
16165,Video Resource - By LessonAlphabetical.html,0,18,0,
16165,xdczx.html,0,3,0,
16167,Course Introduction Video.html,0,0,1,
16167,L01 Lesson Notes.html,0,1,0,
16167,Setup For Course Instructor.html,0,1,0,
16167,Twiddla Tutorial.html,0,0,1,
16173,L01 Learning to Love Learning.html,0,0,3,
16173,L05 United Families International.html,0,0,13,
16173,L06 The Ecological Approach in Action.html,0,0,3,
16173,L09 State Policy in Action.html,0,0,9,
16173,L14 Amazing Grace - Instructions.html,0,0,1,
16177,L01 Intro to CapSim.html,0,1,0,
16177,L07 Video I Will Not Remove Mine Integrity From Me.html,0,1,0,
16177,L12 Video Defining Entrepreneurship and its Role in Society.html,0,1,0,
16177,L12 Video Students at BYU-Idaho – Starting a New Business.html,0,1,0,
16177,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
16178,L01 B 250 Welcome Video - Ready, Fire, Aim.html,0,1,0,
16179,FHGEN Requirements.html,0,1,0,
16180,L02 Deductive Reasoning.html,0,1,0,
16180,L02 Finding Truth.html,0,1,0,
16180,L02 PM - Preparation Materials — 2 hr 50 min — Instructions.html,0,2,0,
16180,L02 Resources.html,0,2,0,
16180,L05AE - Application Exercise.html,0,3,0,
16180,L10 AE- Application Exercise.html,0,2,0,
16180,L11 AE- Application Exercise.html,0,2,0,
16184,Orientation to Online Learning.html,1,0,0,
16185,Activity 01 Readings and Videos.html,0,1,0,
16185,Activity 03 Readings and Videos - Instructions.html,0,1,0,
16185,Course-Resources-LibraryResearchGuide.html,2,0,0,
16185,L02 Reading Material.html,0,1,0,
16185,Orientation to Online Learning.html,3,0,0,
16185,UnitII-L03-ReadingMaterial-5CompanyNamingMistakesthatCanKillYourStartUp.html,1,0,0,
16185,UnitII-L03-ReadingMaterial-VideoIdeasComeFromEverywhere.html,1,0,0,
16185,UnitII-L03-ReadingMaterial-VideoOpportunityRecognition.html,1,0,0,
16185,UnitII-L03-ReadingMaterial-VideoTalkingAboutBusinessModels.html,1,0,0,
16185,UnitII-L03-ReadingMaterial-VideoTheNewBusinessModel.html,1,0,0,
16185,UnitII-L05-ReadingMaterial-StartupsonaShoestring.html,1,0,0,
16185,UnitIV-L09-Activity05JetBlueCaseStudyDiscussion.html,0,1,0,
16186,L01 Introduction to Marriage and Family Studies.html,0,0,1,
16186,L01 Meet the Faculty Videos.html,0,0,4,
16186,L01 Question and Answer Videos.html,0,0,12,
16186,L02 Introduction to and History of the Field of Marriage and Family Studies Video.html,0,0,1,
16186,L03 Aaron Larsen Video.html,0,0,1,
16186,L03 Presentation Income.html,0,0,1,
16186,L04 Research Methods Presentation.html,1,0,0,
16186,L06 Details of Internships Video.html,0,0,1,
16186,L06 Intern Presentations.html,0,0,1,
16186,L06 InternshipNetworking Speaker for the Academic Discovery Center.html,0,0,2,
16187,Orientation to Online Learning.html,3,0,0,
16192,Orientation to Online Learning.html,3,0,0,
16193,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
16193,Orientation to Online Learning.html,3,0,0,
16196,L10 Discussion Ancestry.com and FamilySearch.org.html,0,0,1,
16197,L07 AssignmentGÇöExcel Model Time Value of Money - Instructions.html,3,0,0,
16197,L07 VideoGÇöFV PV of Growing Annuity.html,1,0,0,
16197,L09 AssignmentGÇöExcel Model Capital Budgeting (Basics) - Instructions.html,2,0,0,
16197,L11 Excel Assignment.html,2,0,0,
16197,Orientation to Online Learning.html,1,0,0,
16198,Orientation to Online Learning.html,3,0,0,
16200,Orientation to Online Learning.html,3,0,0,
16200,W02 Begin Working on Genogram - Instructions.html,1,0,0,
16201,L01 Ice Breaker.html,0,1,0,
16202,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
16207,Orientation to Online Learning.html,3,0,0,
16208,Orientation to Online Learning.html,3,0,0,
16209,Orientation to Online Learning.html,3,0,0,
16209,References.html,0,12,0,
16209,The Baby Human To Relate.html,0,1,0,
16209,W10 Baby Human Video To Think - Instructions.html,0,1,0,
16209,W10 The Baby Human To Think.html,0,1,0,
16211,L12.02 - Lawyer Interviews Ryan Meikle, Casey Hurley, and Rob Eaton.html,0,0,3,
16211,Orientation to Online Learning.html,3,0,0,
16212,CH06 Information Processing.html,0,1,0,
16212,CH08 Brain Development.html,0,2,0,
16212,CH08 Injuries and Abuse.html,0,1,0,
16212,CH10 Becoming Boys and Girls.html,0,2,0,
16212,CH10 Emotional Development.html,0,1,0,
16212,CH10 Moral Development.html,0,1,0,
16212,CH14 Health Hazards.html,0,2,0,
16212,CH15 Two Modes of Thinking.html,0,1,0,
16212,CH16 Drugs Use and Abuse.html,0,0,1,
16212,Ch16 Identity.html,0,0,4,
16212,U03 Observations in Development - Instructions.html,0,4,0,
16212,U04 Observations in Development - Instructions.html,0,2,0,
16212,U04 Reflective Journal - Instructions.html,0,1,0,
16212,U05 Collaborative Quest Discussion.html,0,1,0,
16212,U05 Observations in Development - Instructions.html,0,4,0,
16213,Orientation to Online Learning.html,1,0,0,
16214,Course Documents.html,0,4,0,
16214,Orientation to Online Learning.html,3,0,0,
16214,Syllabus.html,1,0,0,
16215,Orientation to Online Learning.html,3,0,0,
16218,L.html,0,5,0,
16218,L04.05 Video on Gender.html,0,1,0,
16218,L05.01 Lesson Overview.html,0,1,0,
16218,L06.02 VideoPresentation.html,1,0,0,
16218,L12a Overview.html,0,1,0,
16218,L13a.01 Overview.html,0,4,0,
16218,Orientation to Online Learning.html,1,0,0,
16218,VideoPresentation.html,1,0,0,
16221,Bro. KunzlerWhitesides.html,0,1,0,
16221,Entrepreneurship.html,0,1,0,
16221,L04 Accounting Industry Outlook.html,0,1,0,
16221,L06 Kent Lundin & Drew Eagar – Marketing Outlook.html,0,1,0,
16221,L07 James Taylor - Finance Industry Outlook.html,0,1,0,
16221,L08 Entrepreneurship at BYU-Idaho.html,0,1,0,
16221,L08 Preparation to Start a Business.html,0,1,0,
16221,L09 Brother Bryan Call.html,0,1,0,
16221,L09 Brother Scott Lee.html,0,1,0,
16221,L09 Candyce Miller - Business Communications Faculty.html,0,1,0,
16221,L09 Casey Hurley - Business Law Faculty.html,0,1,0,
16221,L09 Craig Bell - Faculty Member.html,0,1,0,
16221,L09 Jason Earl - Entrepreneurship Faculty.html,0,1,0,
16221,L09 Jayson Kunzler - Supply Chain Mgt. Faculty.html,0,1,0,
16221,L09 Jim Taylor - FinanceBanking Faculty.html,0,1,0,
16221,l09 Joshua Holt - Organizational Behavior Faculty.html,0,1,0,
16221,L09 Kent Lundin - Department Chair.html,0,1,0,
16221,L09 Kevin Shiley - MarketingInternational Faculty.html,0,1,0,
16221,L09 Kimball Galbraith - Finance Faculty.html,0,1,0,
16221,Lee Barney – CIT Industry Outlook.html,0,1,0,
16221,President Clark Selecting a Cluster.html,0,1,0,
16221,President Clark Selecting a Major and Minor.html,0,1,0,
16221,The Lord Has a Plan Faculty Interviews.html,0,12,0,
16233,Orientation to Online Learning.html,3,0,0,
171066,References.html,0,0,1,
17575,Orientation to Online Learning.html,1,0,0,
17593,Orientation to Online Learning.html,1,0,0,
17595,Orientation to Online Learning.html,1,0,0,
17603,Orientation to Online Learning.html,1,0,0,
17605,Orientation to Online Learning.html,3,0,0,
17617,Orientation to Online Learning.html,1,0,0,
17618,L03 Reading.html,2,0,0,
17618,L05 Prepare.html,1,0,0,
17618,Orientation to Online Learning.html,1,0,0,
17618,Orientation to Online Learning1.html,1,0,0,
17618,Prepare L04.html,1,0,0,
17619,Orientation to Online Learning.html,3,0,0,
17620,L06 The Smith Family.html,0,1,0,
17620,L07 Learning Activity.html,0,1,0,
17620,Orientation to Online Learning.html,3,0,0,
17905,art235_m03.html,1,0,0,
17905,Course Improvement Log.html,1,0,0,
17905,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
18232,Groups.html,1,0,0,
18505,Orientation to Online Learning.html,3,0,0,
18506,Orientation to Online Learning.html,3,0,0,
18563,Groups.html,1,0,0,
18575,Orientation to Online Learning.html,3,0,0,
18727,Orientation to Online Learning.html,3,0,0,
18776,BYU-Idaho Devotionals.html,0,1,0,
18777,Weekly Devotionals (ACCTG 201).html,0,1,0,
18783,Student Adobe Connect Meeting Rooms.html,2,0,0,
18783,TVM Post-Test - Instructions.html,1,0,0,
18818,Groups.html,1,0,0,
18818,Groups1.html,1,0,0,
18818,Orientation to Online Learning.html,3,0,0,
19191,Online Community.html,1,0,0,
19191,Weekly Reflection.html,1,0,0,
19236,Orientation to Online Learning.html,3,0,0,
19308,Circuit Proto-Typing.html,1,0,0,
19308,ECEN 150 Laboratory Experiment Basic Laboratory Instruments (myDAQ).html,10,0,0,
19308,L05 Lab - Series-parallel Circuits - Instructions.html,2,0,0,
19308,L06 Lab - Batteries.html,1,0,0,
19308,L07 Network Theorems.html,1,0,0,
19308,L09 Inductance.html,0,0,3,
19308,LO4 Electrical Safety.html,0,0,1,
19308,Reactance & Impedance (myDAQ).html,1,0,0,
19308,Reactance and Impedance.html,2,0,0,
19308,Sinusoidal WaveForms (myDAQ).html,2,0,0,
19308,Sinusoidal Waveforms.html,5,0,0,
19310,Grammar Lesson - 60 min.html,1,0,0,
19310,Grammar Lesson - 60 min1.html,1,0,0,
19310,Online Community.html,1,0,0,
19310,Weekly Reflection.html,1,0,0,
19311,L04 Prepare.html,0,4,0,
19311,L05 Prepare.html,0,4,0,
19311,L10 Prepare.html,0,3,0,
19325,L06 Companionship Study - Directions.html,0,0,9,
19335,Orientation to Online Learning.html,3,0,0,
19492,13.03 Film Casablanca - Instructions.html,0,1,0,
19492,Groups.html,1,0,0,
19492,References.html,0,4,0,
19493,Video 12.3 Learning about Descendancy Research.html,0,0,1,
19497,Online Community.html,1,0,0,
19497,Weekly Reflections.html,1,0,0,
19503,Weekly Reflection.html,1,0,0,
19547,L01 A1 The Process of Adjustment - Instructions.html,1,0,0,
19547,L17 A3 Textbook Marking - Instructions.html,1,0,0,
19547,L22 A2 Exploration Taxonomy - Instructions.html,2,0,0,
19547,L9 A2 Learning Model Quiz - Instructions.html,1,0,0,
19548,Orientation to Online Learning.html,3,0,0,
19555,Orientation to Online Learning.html,3,0,0,
19564,L10 4.1 VideoAssignment.html,1,0,0,
19564,L12 Voicethread.html,9,0,0,
19564,L13 Voicethread.html,9,0,0,
19690,Teaching Groups.html,1,0,0,
19722,L01 Orientation to Online Learning at BYU-Idaho.html,3,0,0,
23801,L01.01 Orientation to Online Learning at BYU-Idaho.html,3,0,0,
28228,L07 Lesson Preview.html,1,0,0,
28228,L08 Lesson Preview.html,1,0,0,
28228,L09 Lesson Preview.html,1,0,0,
28228,L10 Lesson Preview.html,1,0,0,
28228,L11 Preview.html,1,0,0,
28228,L12 Lesson Preview.html,1,0,0,
28228,L13 Lesson Preview.html,1,0,0,
28228,L14 Digging Deeper.html,1,0,0,
28228,L14 Lesson Preview.html,1,0,0,
28228,Understanding FDREL 121.html,1,0,0,
28754,L03 Self Study Exercises Awkward Sentences.html,1,0,0,
28754,L04 Self Study Exercises Capitalization.html,1,0,0,
28754,Self Study Exercises Comma Rules Lesson 1.html,1,0,0,
28754,Self Study Exercises Comma Rules Lesson 2.html,1,0,0,
28754,Self Study Exercises Confused Words.html,1,0,0,
28754,Self Study Exercises Fragments.html,1,0,0,
28754,Self Study Exercises Improving Style.html,1,0,0,
28754,Self Study Exercises Parallel Structure.html,1,0,0,
28754,Self Study Exercises Pronouns.html,1,0,0,
28754,Self Study Exercises Run-ons.html,1,0,0,
28754,Self Study Exercises Shifts in Time.html,1,0,0,
28754,Self Study Exercises Wordy Sentences.html,1,0,0,
31319,Orientation to Online Learning.html,3,0,0,
32027,L01 Orientation to Online Learning.html,3,0,0,
32027,Orientation to Online Learning.html,3,0,0,
40664,Groups.html,1,0,0,
40664,Orientation to Online Learning.html,2,0,0,
50273,Orientation to Online Learning at BYU-Idaho.html,1,0,0,
50275,Activity Directions123719.html,0,1,0,
50275,Activity Directions580357.html,0,1,0,
50275,Activity Directions659742.html,0,1,0,
50275,L02.13 Presentation on Renaissance Art.html,1,0,0,
50275,Orientation to Online Learning at BYU-Idaho19183.html,4,0,0,
50275,Presentation on Baroque Worldview.html,1,0,0,
50275,Presentation on Baroque Worldview201546.html,1,0,0,
50275,Presentation On Classical Art.html,1,0,0,
50275,Presentation on Neo-Imperialism in Iran.html,1,0,0,
50275,Presentation on Neo-Imperialism in Iran516057.html,1,0,0,
50275,Presentation on Renaissance Art675882.html,1,0,0,
50275,Presentation on the Baptists  Methodists  and a Short History of Religion in America.html,1,0,0,
50275,Presentation on the Cold War.html,1,0,0,
50275,Presentation on the Romantic Worldview and Art.html,1,0,0,
50275,Presentation on the Romantic Worldview and Art5090.html,1,0,0,
50278,Lesson Introduction.html,0,2,0,
50278,Lesson Introduction207815.html,0,1,0,
50278,Lesson Introduction316.html,0,1,0,
50278,Lesson Introduction354588.html,0,1,0,
50278,Lesson Introduction423137.html,0,2,0,
50279,W01.03 Discussion Board Icebreaker.html,0,1,0,
50281,Act For Self.html,0,0,1,
50281,Faith.html,0,0,1,
50281,Gateway Seminar Learning Model Principles (Part 2).html,0,0,4,
50281,Holy Ghost.html,0,0,1,
50281,Introduction.html,0,0,1,
50281,Word of God.html,0,0,1,
50282,IL Introduce Yourself.html,0,1,0,
50282,The Resume.html,0,0,1,
50282,Writing Resumes and Cover Letters.html,0,0,1,
50290,Alpha.html,1,0,0,
52555,Videos.html,0,0,6,
57167,Introduction to FDREL 122.html,1,0,0,
57167,L02 Lesson Preview.html,1,0,0,
57167,L03 Lesson Preview.html,1,0,0,
57167,L04 Lesson Preview.html,1,0,0,
57167,L05 Lesson Preview.html,1,0,0,
57167,L06 Lesson Preview.html,1,0,0,
57167,L07 Lesson Preview.html,1,0,0,
57167,L08 Lesson Preview.html,1,0,0,
57167,L09 Lesson Preview.html,1,0,0,
57167,L10 Lesson Preview.html,1,0,0,
57167,L11 Lesson Preview.html,1,0,0,
57167,L12 Lesson Preview.html,1,0,0,
57167,L12 Preview.html,1,0,0,
57167,L14 Lesson Preview.html,1,0,0,
58369,Lab Manual .html,1,0,0,
58369,Module 2  Cardiovascular Anatomy Overview.html,1,0,0,
58372,Orientation to Online Learning at BYU-Idaho.html,2,0,0,
58372,Setup for Course Instructor.html,0,1,0,
59655,L01.03 Ice Breaker Activity - Instructions.html,0,1,0,
59656,Course Documents.html,0,3,0,
59656,References.html,0,0,1,
61374,Orientation to Online Learning at BYU-Idaho.html,4,0,0,
61375,Case Study - Margaret and Weight Loss.html,0,1,0,
61375,Case Study - Minnesota Semi-Starvation Experiment.html,0,1,0,
61375,Case Study - Protein Energy Malnutrition.html,0,1,0,
61375,L13.04 Group Discussion Board - Maternal & Child Nutrition - Instructions.html,0,1,0,
61375,Preparation - Energy Balance.html,0,1,0,
61375,Preparation - Evaluating Nutrition Information.html,0,1,0,
61375,Preparation - Promoting Healthy Weights.html,0,1,0,
61375,Preparation - Proteins and Amino Acids.html,0,1,0,
61375,Preparation - Vitamins.html,0,0,1,
61375,Preparation Template.html,1,0,0,
61377,L03.05 Interpret your Campbell Interest and Skill Survey results (1 hour).html,1,0,0,
61377,Setup For Course Instructor.html,0,1,0,
61377,Take the Campbell Interest and Skill Survey  1 hour .html,2,0,0,
61378,Internet Fundamentals.html,0,0,1,
61381,Setup for Course Instructor.html,0,1,0,
61911,Tutorials  I-Learn .html,0,1,0,
61911,Video  BYUI Learning Model.html,0,1,0,
61929,References.html,0,1,0,
62216,Lesson_02_Individual_Preparation.html,1,0,0,
62216,Lesson_03_Individual_Preparation.html,3,0,0,
62216,Lesson_04_Individual_Preparation.html,2,0,0,
62216,Lesson_05_Individual_Preparation.html,3,0,0,
62216,Lesson_06_Individual_Preparation.html,3,0,0,
62216,Lesson_07_Individual_Preparation.html,3,0,0,
62216,Lesson_09_Individual_Preparation.html,4,0,0,
62216,Lesson_10_Individual_Preparation.html,3,0,0,
62216,Lesson_11_Individual_Preparation.html,3,0,0,
62216,Lesson_12_Individual_Preparation.html,3,0,0,
62216,Lesson_13_Individual_Preparation.html,3,0,0,
62216,Lesson_14_Individual_Preparation.html,3,0,0,
62216,Lesson_16_Individual_Preparation.html,3,0,0,
62216,Lesson_17_Individual_Preparation.html,3,0,0,
62216,Lesson_18_Individual_Preparation.html,2,0,0,
62216,Lesson_19_Individual_Preparation.html,3,0,0,
62216,Lesson_21_Individual_Preparation.html,3,0,0,
62216,Lesson_22_Individual_Preparation.html,2,0,0,
62216,Lesson_23_Individual_Preparation.html,3,0,0,
62216,Setup Notes For Development Team (new).html,1,0,0,
62216,Setup Notes for Development Team.html,1,0,0,
62217,Lesson_02_Individual_Preparation.html,1,0,0,
62217,Lesson_03_Individual_Preparation.html,3,0,0,
62217,Lesson_04_Individual_Preparation.html,2,0,0,
62217,Lesson_05_Individual_Preparation.html,3,0,0,
62217,Lesson_06_Individual_Preparation.html,3,0,0,
62217,Lesson_07_Individual_Preparation.html,3,0,0,
62217,Lesson_09_Individual_Preparation.html,4,0,0,
62217,Lesson_10_Individual_Preparation.html,3,0,0,
62217,Lesson_11_Individual_Preparation.html,4,0,0,
62217,Lesson_12_Individual_Preparation.html,3,0,0,
62217,Lesson_13_Individual_Preparation.html,3,0,0,
62217,Lesson_14_Individual_Preparation.html,3,0,0,
62217,Lesson_16_Individual_Preparation.html,3,0,0,
62217,Lesson_17_Individual_Preparation.html,3,0,0,
62217,Lesson_18_Individual_Preparation.html,2,0,0,
62217,Lesson_19_Individual_Preparation.html,3,0,0,
62217,Lesson_21_Individual_Preparation.html,3,0,0,
62217,Lesson_22_Individual_Preparation.html,2,0,0,
62217,Lesson_23_Individual_Preparation.html,3,0,0,
62217,Setup Notes for Development Team (new).html,1,0,0,
62218,Lesson_02_Individual_Preparation.html,1,0,0,
62218,Lesson_03_Individual_Preparation.html,3,0,0,
62218,Lesson_04_Individual_Preparation.html,2,0,0,
62218,Lesson_05_Individual_Preparation.html,3,0,0,
62218,Lesson_06_Individual_Preparation.html,3,0,0,
62218,Lesson_07_Individual_Preparation.html,3,0,0,
62218,Lesson_09_Individual_Preparation.html,4,0,0,
62218,Lesson_10_Individual_Preparation.html,3,0,0,
62218,Lesson_11_Individual_Preparation.html,4,0,0,
62218,Lesson_12_Individual_Preparation.html,3,0,0,
62218,Lesson_13_Individual_Preparation.html,3,0,0,
62218,Lesson_14_Individual_Preparation.html,3,0,0,
62218,Lesson_16_Individual_Preparation.html,3,0,0,
62218,Lesson_17_Individual_Preparation.html,3,0,0,
62218,Lesson_18_Individual_Preparation.html,2,0,0,
62218,Lesson_19_Individual_Preparation.html,3,0,0,
62218,Lesson_21_Individual_Preparation.html,3,0,0,
62218,Lesson_22_Individual_Preparation.html,2,0,0,
62218,Lesson_23_Individual_Preparation.html,3,0,0,
62218,Setup Notes For Development Team (new).html,1,0,0,
63195,L01 Lesson Notes.html,0,1,0,
63195,Setup for Course Instructor.html,0,1,0,
63196,CL  Concluding Cases.html,2,0,0,
63196,L01  Concluding Cases .html,5,0,0,
63196,L02  Concluding Cases.html,3,0,0,
63196,L03  Concluding Cases.html,3,0,0,
63196,L04  Concluding Cases.html,5,0,0,
63196,L05  Concluding Cases.html,4,0,0,
63196,L06  Concluding Cases.html,4,0,0,
63196,L07  Concluding Cases.html,3,0,0,
63196,L08  Concluding Cases.html,4,0,0,
63196,L09  Concluding Cases.html,4,0,0,
63196,L10  Concluding Cases.html,5,0,0,
63196,L11  Concluding Cases.html,8,0,0,
63196,L12  Concluding Cases.html,5,0,0,
63196,Orientation to Online Learning at BYU-Idaho.html,1,0,0,
63921,11.05 ReadingsVideos.html,0,1,0,
63921,L02.05 ReadingsVideos - 60 minutes.html,0,2,0,
63921,L04.05 ReadingsVideos.html,0,3,0,
63921,L06.05 ReadingVideos.html,0,2,0,
63921,L09.05 ReadingsVideos.html,0,1,0,
64185,Orientation to Online Learning at BYU-Idaho.html,1,0,0,
6633,Orientation to Online Learning.html,4,0,0,
6633,Prepare.html,1,0,0,
67129,L 03 Relevance - LDS Humanitarian Aid.html,0,0,2,
67129,L 04 Relevance - Participating in Groups.html,0,0,1,
67132,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
67132,Setup for Course Instructor.html,0,1,0,
67133,Paper Topic.html,3,0,0,
67133,Setup for Course Instructor.html,0,1,0,
67136,References.html,0,1,0,
67138,Online Community.html,1,0,0,
67139,Student Preparation165687.html,0,2,0,
68324,ReplySummary Posts for Characteristics of a successful salesperson.html,1,0,0,
69035,Orientation to Online Learning.html,3,0,0,
81222,Orientation to Online Learning.html,3,0,0,
99482,IL  Orientation to Online Learning at BYU-Idaho - 5 min.html,3,0,0,
99482,Orientation to Online Learning at BYU - Idaho.html,3,0,0,
,Total:,564,255,111,
